model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DNS,RW,yields,m210,210.0,12,420,0.007752221608589866,0.007822398444300226,0.0059375252587749155,0.0062618374694952345,6.009693986868765e-05,6.118991742139059e-05,0.017862053076098228,mat,dns_yield_h12
DNS,RW,yields,m211,211.0,12,420,0.007749770988938787,0.007812137874289276,0.005935651834845376,0.006250663000076199,6.005895038099727e-05,6.1029498166904966e-05,0.015902929158182255,mat,dns_yield_h12
DNS,RW,yields,m212,212.0,12,420,0.007747298439991899,0.007801732993223123,0.005933872458907245,0.00623953436821905,6.0020633118300914e-05,6.0867037697546235e-05,0.013905795505461893,mat,dns_yield_h12
DNS,RW,yields,m213,213.0,12,420,0.007744709189701377,0.00779112430686457,0.005932204057125923,0.006228482854276189,5.998052043304495e-05,6.0701617965015924e-05,0.011879379102984755,mat,dns_yield_h12
DNS,RW,yields,m214,214.0,12,420,0.00774193788412292,0.007780275297063067,0.005930859979516396,0.006217526073123813,5.9937602201617666e-05,6.0532683698089804e-05,0.009830746963741754,mat,dns_yield_h12
DNS,RW,yields,m215,215.0,12,420,0.007738962006176909,0.007769185235745603,0.005929519114607262,0.006206624773771433,5.9891532933049734e-05,6.036023922732747e-05,0.007765149712420816,mat,dns_yield_h12
DNS,RW,yields,m216,216.0,12,420,0.007735804531955177,0.0077578978540858295,0.005928235247027042,0.0061957353567714335,5.9842671756618255e-05,6.018497911442952e-05,0.005687587880697564,mat,dns_yield_h12
DNS,RW,yields,m217,217.0,12,420,0.007732528315418225,0.007746505021946818,0.005926999007707679,0.00618482985456667,5.979199414874462e-05,6.000834005504727e-05,0.003605263970044681,mat,dns_yield_h12
DNS,RW,yields,m218,218.0,12,420,0.007729224398137469,0.007735140655831499,0.00592573917584079,0.006173906703419045,5.974090979676352e-05,5.9832400965497356e-05,0.0015291241410584355,mat,dns_yield_h12
DNS,RW,yields,m219,219.0,12,420,0.007725995409979446,0.007723961500778085,0.005924500782382969,0.006163049374942854,5.9691005075023465e-05,5.965958126550205e-05,-0.0005267185731923085,mat,dns_yield_h12
