model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m183,183,12,267,0.015377596952021122,0.0079557616263628,0.01058907713741064,0.006334766745567322,0.00023647048510611057,6.329413736239076e-05,-2.7360568046569824,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m184,184,12,267,0.015387299470603466,0.007958218455314636,0.01059032417833805,0.006336560007184744,0.00023676898854319006,6.333323835860938e-05,-2.7384634017944336,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m185,185,12,267,0.01539746392518282,0.007960488088428974,0.01059156097471714,0.006338049191981554,0.0002370818838244304,6.33693634881638e-05,-2.741269826889038,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m186,186,12,267,0.015408054925501347,0.00796253327280283,0.010592968203127384,0.0063392240554094315,0.00023740815231576562,6.340193067444488e-05,-2.7444939613342285,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m187,187,12,267,0.015419069677591324,0.00796432700008154,0.010595271363854408,0.0063400850631296635,0.00023774772125761956,6.343050335999578e-05,-2.7481608390808105,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m188,188,12,267,0.015430479310452938,0.007965842261910439,0.010599099099636078,0.006340634077787399,0.00023809968843124807,6.345464498735964e-05,-2.752281427383423,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m189,189,12,267,0.01544228196144104,0.007967057637870312,0.010603874921798706,0.006341013126075268,0.00023846406838856637,6.34740135865286e-05,-2.7568771839141846,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m190,190,12,267,0.015454469248652458,0.007967948913574219,0.010609131306409836,0.006341251544654369,0.0002388406137470156,6.348820897983387e-05,-2.7619681358337402,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m191,191,12,267,0.015467018820345402,0.007968476042151451,0.010615106672048569,0.006341408472508192,0.00023922868422232568,6.349661271087825e-05,-2.7675819396972656,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m192,192,12,267,0.015479941852390766,0.007968595251441002,0.010621439665555954,0.006341198459267616,0.00023962858540471643,6.349851173581555e-05,-2.7737669944763184,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m193,193,12,267,0.015493213199079037,0.007968256250023842,0.010629941709339619,0.0063405814580619335,0.00024003964790608734,6.349311297526583e-05,-2.780561923980713,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m194,194,12,267,0.015506806783378124,0.007967404089868069,0.010638691484928131,0.006339498795568943,0.00024046104226727039,6.347952876240015e-05,-2.7880091667175293,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m195,195,12,267,0.01552069652825594,0.007966005243360996,0.010647697374224663,0.0063378955237567425,0.00024089202634058893,6.345723522827029e-05,-2.7961318492889404,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m196,196,12,267,0.015534864738583565,0.007964047603309155,0.010657590813934803,0.0063357045873999596,0.00024133203260134906,6.34260504739359e-05,-2.8049354553222656,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m197,197,12,267,0.01554929930716753,0.007961554452776909,0.010667762719094753,0.006333057302981615,0.0002417807118035853,6.33863455732353e-05,-2.8143973350524902,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m198,198,12,267,0.015564016066491604,0.007958583533763885,0.010678264312446117,0.006329837255179882,0.00024223860236816108,6.333905184874311e-05,-2.824474811553955,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m199,199,12,267,0.015579045750200748,0.007955200970172882,0.010689510963857174,0.006326001603156328,0.00024270667927339673,6.328522431431338e-05,-2.8351240158081055,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m200,200,12,267,0.015594386495649815,0.007951470091938972,0.010701333172619343,0.006321577820926905,0.00024318488431163132,6.322587432805449e-05,-2.846287488937378,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m201,201,12,267,0.015610026195645332,0.007947430945932865,0.010713581927120686,0.006316605024039745,0.00024367291189264506,6.31616567261517e-05,-2.857924699783325,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m202,202,12,267,0.01562592014670372,0.00794310588389635,0.010725651867687702,0.006311121396720409,0.0002441694086883217,6.309293530648574e-05,-2.8699960708618164,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m203,203,12,267,0.01564199849963188,0.007938512600958347,0.010737763717770576,0.006305161397904158,0.0002446720900479704,6.301998655544594e-05,-2.8824522495269775,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m204,204,12,267,0.0156581848859787,0.007933668792247772,0.010750996880233288,0.006298760883510113,0.0002451787586323917,6.294309423537925e-05,-2.895244836807251,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m205,205,12,267,0.015674419701099396,0.007928604260087013,0.01076449640095234,0.006291958969086409,0.0002456874353811145,6.286276766331866e-05,-2.9083139896392822,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m206,206,12,267,0.015690678730607033,0.007923366501927376,0.010777710005640984,0.006284940987825394,0.00024619739269837737,6.277974171098322e-05,-2.9216055870056152,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m207,207,12,267,0.01570696011185646,0.007918027229607105,0.01079061534255743,0.006277686450630426,0.00024670857237651944,6.269515142776072e-05,-2.9350502490997314,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m208,208,12,267,0.015723297372460365,0.007912646979093552,0.010804046876728535,0.006270283833146095,0.0002472221094649285,6.260997906792909e-05,-2.948605537414551,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m209,209,12,267,0.01573970727622509,0.00790725089609623,0.010817954316735268,0.0062628211453557014,0.00024773841141723096,6.252461753319949e-05,-2.9622538089752197,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m210,210,12,267,0.015756212174892426,0.007901816628873348,0.010831969790160656,0.0062553770840168,0.0002482582349330187,6.243870302569121e-05,-2.9760313034057617,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m211,211,12,267,0.01577279344201088,0.007896261289715767,0.010846310295164585,0.006247987039387226,0.00024878099793568254,6.235094042494893e-05,-2.9900119304656982,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m212,212,12,267,0.015789397060871124,0.00789046660065651,0.010860254988074303,0.006240724120289087,0.0002493050415068865,6.225946708582342e-05,-3.00429105758667,mat,dlns_lee2023_h12
