Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
199112,1.0288,2.0826,3.5517,4.2462,5.595,6.289,6.7838,7.8342,8.8493
199201,1.4037,2.7956,4.4534,5.2263,6.8863,7.7768,8.3351,9.4952,10.267
199202,1.4824,2.8848,4.5787,5.303,6.8688,7.6975,8.0879,8.9596,9.6629
199203,1.7623,3.3697,5.0042,5.5546,7.1495,7.8038,8.1644,9.0561,9.6112
199204,1.8784,3.5649,5.3692,6.1829,7.8975,8.7468,9.2929,10.4854,11.122
199205,1.6671,3.2304,4.9058,5.7746,7.2825,8.2017,8.8625,10.1616,10.8085
199206,1.4116,2.8752,4.5906,5.5512,7.1939,8.1764,8.8631,10.1857,10.9225
199207,1.4002,2.8197,4.5592,5.6074,7.2737,8.1618,8.8518,10.1158,11.0232
199208,1.2688,2.7228,4.5298,5.6201,7.5369,8.6063,9.4664,10.8432,11.7835
199209,1.3539,2.8,4.6588,5.882,7.8143,9.1371,10.106,11.55,12.6473
199210,1.609,3.1883,5.0623,6.0418,7.7353,8.8288,9.7563,11.0096,11.9358
199211,1.7946,3.4292,5.237,6.1724,7.7466,8.5895,9.1192,9.9921,10.8675
199212,1.7349,3.4269,5.2664,6.3375,7.8969,8.6853,9.0984,9.9943,10.8501
199301,1.4503,2.9458,4.473,5.4888,7.1334,7.9836,8.8298,9.9353,10.6398
199302,1.1607,2.3947,3.9608,4.9159,6.3766,7.2747,8.2347,9.3214,9.9261
199303,1.1802,2.5138,4.0708,5.0024,6.4785,7.469,8.2488,9.2431,10.0357
199304,1.0633,2.4174,3.966,5.0596,6.6314,7.6895,8.6011,9.6771,10.4742
199305,1.1716,2.348,3.6824,4.509,5.8163,6.7518,7.6027,8.5436,9.2542
199306,1.0187,2.0966,3.2125,3.9764,5.1275,5.8141,6.5182,7.4067,8.1099
199307,1.146,2.2025,3.3719,4.111,5.1788,5.7487,6.3306,7.1995,7.8752
199308,0.904,1.7635,2.7162,3.46,4.4385,5.127,5.8202,6.6507,7.3246
199309,0.9511,1.8966,2.8676,3.4473,4.396,4.9304,5.4892,6.3156,7.0596
199310,0.9997,1.7984,2.7457,3.3311,4.2797,4.8483,5.3626,6.064,6.695
199311,1.1887,2.113,3.2819,3.9721,5.0374,5.7818,6.4124,7.1942,7.9063
199312,1.1813,2.0911,3.3003,4.0141,4.9552,5.5438,6.2553,7.0763,7.7714
199401,1.2128,2.1189,3.1562,3.8375,4.7753,5.477,6.1845,6.9193,7.5564
199402,1.2893,2.2357,3.3247,3.9633,4.9481,5.633,6.1727,6.8531,7.4324
199403,1.4462,2.647,3.8248,4.4715,5.4784,6.1277,6.5804,7.3412,7.9252
199404,1.4814,2.5694,3.5872,3.9946,4.6953,5.0731,5.496,6.1875,6.6091
199405,1.427,2.3648,3.1627,3.4898,4.1075,4.4688,4.8368,5.3626,5.707
199406,1.4619,2.3797,3.2628,3.5905,4.2304,4.4887,4.8022,5.4066,5.7478
199407,1.2829,2.0469,2.7822,3.0735,3.6591,3.8493,4.2132,4.7348,5.0176
199408,1.2583,1.9769,2.6473,2.8635,3.4314,3.6387,3.9469,4.3815,4.5653
199409,1.2921,2.0649,2.7734,2.9709,3.4452,3.5447,3.8378,4.2044,4.343
199410,1.3155,2.0509,2.7093,2.8771,3.3225,3.4004,3.641,3.9551,4.0492
199411,1.0795,1.5602,1.776,1.6439,1.6996,1.3761,1.3552,1.5416,1.4468
199412,0.8653,1.0188,0.9495,0.6119,0.3984,-0.0212,-0.0062,-0.2494,-0.5644
199501,0.7579,0.9799,1.0894,0.882,0.8195,0.457,0.4705,0.2893,0.0542
199502,0.6006,0.7372,0.854,0.7037,0.8039,0.5286,0.5623,0.4156,0.2533
